,original,modified,size
1096,pneumonia,pneumonia,1
1098,seborrheic dermatitis,seborrheicdermatitis,2
1126,interstitial cystitis,interstitialcystitis,2
1136,malaria prevention,malariaprevention,2
1139,prevention of dental caries,preventionofdentalcaries,4
1142,herbal supplementation,herbalsupplementation,2
1148,plaque psoriasis,plaquepsoriasis,2
1151,raynaud's syndrome,raynaud'ssyndrome,2
1176,addison's disease,addison'sdisease,2
1195,prostate cance,prostatecance,2
1212,allergies,allergies,1
1216,opioid-induced constipation,opioid-inducedconstipation,2
1228,moterol),moterol),1
1275,diarrhea,diarrhea,1
1279,seasonal allergic conjunctivitis,seasonalallergicconjunctivitis,3
1286,opioid overdose,opioidoverdose,2
1326,spondylolisthesis,spondylolisthesis,1
1329,shift work sleep disorde,shiftworksleepdisorde,4
1342,obstructive sleep apnea/hypopnea syndrome,obstructivesleepapnea/hypopneasyndrome,4
1354,nausea/vomiting of pregnancy,nausea/vomitingofpregnancy,3
1355,mucositis,mucositis,1
1379,"ulcerative colitis, active","ulcerativecolitis,active",3
1395,head lice,headlice,2
1400,tonsillitis/pharyngitis,tonsillitis/pharyngitis,1
1403,pseudotumor cerebri,pseudotumorcerebri,2
1427,parkinson's disease,parkinson'sdisease,2
1458,sciatica,sciatica,1
1460,cance,cance,1
1496,bacterial endocarditis prevention,bacterialendocarditisprevention,3
1498,"diarrhea, chronic","diarrhea,chronic",2
1500,hypertensive emergency,hypertensiveemergency,2
1504,keratosis,keratosis,1
1509,ovarian cysts,ovariancysts,2
1519,behcet's disease,behcet'sdisease,2
1522,chronic idiopathic constipation,chronicidiopathicconstipation,3
1533,lic acid deficiency,licaciddeficiency,3
1570,chronic fatigue syndrome,chronicfatiguesyndrome,3
1573,basal cell carcinoma,basalcellcarcinoma,3
1579,cataplexy,cataplexy,1
1584,"crohn's disease, maintenance","crohn'sdisease,maintenance",3
1594,diabetic peripheral neuropathy,diabeticperipheralneuropathy,3
1613,arrhythmia,arrhythmia,1
1615,primary ovarian failure,primaryovarianfailure,3
1662,influenza prophylaxis,influenzaprophylaxis,2
1684,agitated state,agitatedstate,2
1686,heart failure,heartfailure,2
1688,atigue,atigue,1
1710,opiate withdrawal,opiatewithdrawal,2
1748,"endometrial hyperplasia, prophylaxis","endometrialhyperplasia,prophylaxis",3
1773,immunosuppression,immunosuppression,1
1780,dystonia,dystonia,1
1794,alopecia,alopecia,1
1807,vulvodynia,vulvodynia,1
1810,premenstrual dysphoric disorde,premenstrualdysphoricdisorde,3
1841,alcohol dependence,alcoholdependence,2
1861,myasthenia gravis,myastheniagravis,2
1864,social anxiety disorde,socialanxietydisorde,3
1866,atopic dermatitis,atopicdermatitis,2
1868,schistosoma japonicum,schistosomajaponicum,2
1883,sinus symptoms,sinussymptoms,2
1933,min / sitagliptin),min/sitagliptin),3
1939,dermatitis,dermatitis,1
1969,eye redness,eyeredness,2
1971,warts,warts,1
2011,menorrhagia,menorrhagia,1
2015,seizure prevention,seizureprevention,2
2036,ophthalmic surgery,ophthalmicsurgery,2
2047,skin rash,skinrash,2
2052,condylomata acuminata,condylomataacuminata,2
2084,nsaid-induced ulcer prophylaxis,nsaid-inducedulcerprophylaxis,3
2090,tinea versicol,tineaversicol,2
2157,peripheral neuropathy,peripheralneuropathy,2
2164,deep vein thrombosis,deepveinthrombosis,3
2198,heart attack,heartattack,2
2235,"pulmonary embolism, recurrent event","pulmonaryembolism,recurrentevent",4
2238,light sedation,lightsedation,2
2260,acute lymphoblastic leukemia,acutelymphoblasticleukemia,3
2270,hyperprolactinemia,hyperprolactinemia,1
2297,indigestion,indigestion,1
2332,hepatitis b,hepatitisb,2
2336,dysautonomia,dysautonomia,1
2362,status epilepticus,statusepilepticus,2
2392,postpartum depression,postpartumdepression,2
2396,multiple myeloma,multiplemyeloma,2
2401,prevention of hypokalemia,preventionofhypokalemia,3
2408,edema,edema,1
2437,urinary retention,urinaryretention,2
2444,prevention of thromboembolism in atrial fibrillation,preventionofthromboembolisminatrialfibrillation,6
2499,cluster headaches,clusterheadaches,2
2576,"sexual dysfunction, ssri induced","sexualdysfunction,ssriinduced",4
2600,dermatitis herpetiformis,dermatitisherpetiformis,2
2612,temporomandibular joint disorde,temporomandibularjointdisorde,3
2616,"burns, external","burns,external",2
2619,actinic keratosis,actinickeratosis,2
2639,pharyngitis,pharyngitis,1
2657,"melanoma, metastatic","melanoma,metastatic",2
2673,atrial flutte,atrialflutte,2
2684,lyme disease,lymedisease,2
2704,dry eye disease,dryeyedisease,3
2725,allergic reactions,allergicreactions,2
2727,hypertriglyceridemia,hypertriglyceridemia,1
2741,pruritus,pruritus,1
2768,carcinoid tum,carcinoidtum,2
2822,muscle pain,musclepain,2
2883,colorectal cance,colorectalcance,2
2921,vitamin/mineral supplementation during pregnancy/lactation,vitamin/mineralsupplementationduringpregnancy/lactation,4
2943,"nausea/vomiting, chemotherapy induced","nausea/vomiting,chemotherapyinduced",3
2952,women (oxybutynin),women(oxybutynin),2
2999,primary immunodeficiency syndrome,primaryimmunodeficiencysyndrome,3
3008,new daily persistent headache,newdailypersistentheadache,4
3061,pneumococcal disease prophylaxis,pneumococcaldiseaseprophylaxis,3
3093,burning mouth syndrome,burningmouthsyndrome,3
3099,urinary tract stones,urinarytractstones,3
3186,pseudobulbar affect,pseudobulbaraffect,2
3202,eye redness/itching,eyeredness/itching,2
3222,"deep vein thrombosis, first event","deepveinthrombosis,firstevent",5
3235,pulmonary hypertension,pulmonaryhypertension,2
3249,malaria,malaria,1
3268,sarcoidosis,sarcoidosis,1
3320,dietary supplementation,dietarysupplementation,2
3324,bulimia,bulimia,1
3329,tendonitis,tendonitis,1
3337,nasal polyps,nasalpolyps,2
3356,hypokalemia,hypokalemia,1
3426,"anemia, sickle cell","anemia,sicklecell",3
3432,uveitis,uveitis,1
3500,streptococcal infection,streptococcalinfection,2
3609,perimenopausal symptoms,perimenopausalsymptoms,2
3620,asperger syndrome,aspergersyndrome,2
3649,tinea corporis,tineacorporis,2
3650,mania,mania,1
3673,renal cell carcinoma,renalcellcarcinoma,3
3686,copd,copd,1
3712,biliary cirrhosis,biliarycirrhosis,2
3716,vertig,vertig,1
3809,reversal of opioid sedation,reversalofopioidsedation,4
3815,non-hodgkin's lymphoma,non-hodgkin'slymphoma,2
3827,"high cholesterol, familial homozygous","highcholesterol,familialhomozygous",4
3856,periodic limb movement disorde,periodiclimbmovementdisorde,4
3900,supraventricular tachycardia,supraventriculartachycardia,2
3911,hypoestrogenism,hypoestrogenism,1
4007,juvenile idiopathic arthritis,juvenileidiopathicarthritis,3
4027,swine flu,swineflu,2
4043,giardiasis,giardiasis,1
4047,binge eating disorde,bingeeatingdisorde,3
4048,tourette's syndrome,tourette'ssyndrome,2
4115,trichomoniasis,trichomoniasis,1
4119,acial wrinkles,acialwrinkles,2
4200,pulmonary embolism,pulmonaryembolism,2
4258,"conjunctivitis, allergic","conjunctivitis,allergic",2
4269,avian influenza,avianinfluenza,2
4278,hemangioma,hemangioma,1
4367,nocturnal leg cramps,nocturnallegcramps,3
4405,thyroid suppression test,thyroidsuppressiontest,3
4411,muscle twitching,muscletwitching,2
4440,pupillary dilation,pupillarydilation,2
4475,lennox-gastaut syndrome,lennox-gastautsyndrome,2
4499,opiate adjunct,opiateadjunct,2
4525,postoperative pain,postoperativepain,2
4569,candida urinary tract infection,candidaurinarytractinfection,4
4608,cerebral spasticity,cerebralspasticity,2
4648,lipodystrophy,lipodystrophy,1
4660,androgenetic alopecia,androgeneticalopecia,2
4674,computed tomography,computedtomography,2
4697,mitral valve prolapse,mitralvalveprolapse,3
4701,vitamin d deficiency,vitaminddeficiency,3
4720,"glaucoma, open angle","glaucoma,openangle",3
4765,endoscopy or radiology premedication,endoscopyorradiologypremedication,4
4881,alzheimer's disease,alzheimer'sdisease,2
4946,gouty arthritis,goutyarthritis,2
4967,paroxysmal supraventricular tachycardia,paroxysmalsupraventriculartachycardia,3
5077,"deep vein thrombosis, prophylaxis","deepveinthrombosis,prophylaxis",4
5113,gaucher disease,gaucherdisease,2
5177,lymphocytic colitis,lymphocyticcolitis,2
5295,pancreatic cance,pancreaticcance,2
5296,cystic fibrosis,cysticfibrosis,2
5335,noninfectious colitis,noninfectiouscolitis,2
5402,nephrocalcinosis,nephrocalcinosis,1
5473,iron deficiency anemia,irondeficiencyanemia,3
5481,mulation) (phenylephrine),mulation)(phenylephrine),2
5490,hiccups,hiccups,1
5499,bronchospasm prophylaxis,bronchospasmprophylaxis,2
5533,chronic spasticity,chronicspasticity,2
5550,min / saxagliptin),min/saxagliptin),3
5564,post-cholecystectomy diarrhea,post-cholecystectomydiarrhea,2
5620,postherpetic neuralgia,postherpeticneuralgia,2
5640,"insomnia, stimulant-associated","insomnia,stimulant-associated",2
5664,"copd, acute","copd,acute",2
5784,herpes simplex dendritic keratitis,herpessimplexdendritickeratitis,4
5798,oophorectomy,oophorectomy,1
5926,cyclic vomiting syndrome,cyclicvomitingsyndrome,3
5993,chronic lymphocytic leukemia,chroniclymphocyticleukemia,3
6011,"lyme disease, arthritis","lymedisease,arthritis",3
6094,pseudomembranous colitis,pseudomembranouscolitis,2
6147,conjunctivitis,conjunctivitis,1
6271,min),min),1
6287,intraocular hypertension,intraocularhypertension,2
6310,aphthous ulce,aphthousulce,2
6331,"ulcerative colitis, maintenance","ulcerativecolitis,maintenance",3
6357,melasma,melasma,1
6414,"lyme disease, neurologic","lymedisease,neurologic",3
6417,ge (amlodipine / valsartan),ge(amlodipine/valsartan),4
6474,herpes zoste,herpeszoste,2
6585,cervical dystonia,cervicaldystonia,2
6650,labor induction,laborinduction,2
6662,human papilloma virus,humanpapillomavirus,3
6707,chronic pancreatitis,chronicpancreatitis,2
6769,polycythemia vera,polycythemiavera,2
6953,dermatological disorders,dermatologicaldisorders,2
6986,lewy body dementia,lewybodydementia,3
7030,amilial mediterranean feve,amilialmediterraneanfeve,3
7210,neurosurgery,neurosurgery,1
7263,gastroenteritis,gastroenteritis,1
7341,macular edema,macularedema,2
7518,tinea pedis,tineapedis,2
7700,diagnosis and investigation,diagnosisandinvestigation,3
7852,gas,gas,1
7865,neuralgia,neuralgia,1
7903,local anesthesia,localanesthesia,2
8089,acute coronary syndrome,acutecoronarysyndrome,3
8341,aspiration pneumonia,aspirationpneumonia,2
8363,idiopathic thrombocytopenic purpura,idiopathicthrombocytopenicpurpura,3
8411,"onychomycosis, fingernail","onychomycosis,fingernail",2
8528,photoaging of the skin,photoagingoftheskin,4
8552,premature lab,prematurelab,2
8658,precocious puberty,precociouspuberty,2
8779,prevention of bladder infection,preventionofbladderinfection,4
8783,seasonal affective disorde,seasonalaffectivedisorde,3
8804,diabetic kidney disease,diabetickidneydisease,3
8819,"crohn's disease, acute","crohn'sdisease,acute",3
8868,insulin resistance syndrome,insulinresistancesyndrome,3
8922,pudendal neuralgia,pudendalneuralgia,2
9210,reiter's syndrome,reiter'ssyndrome,2
9491,amyotrophic lateral sclerosis,amyotrophiclateralsclerosis,3
9503,body dysmorphic disorde,bodydysmorphicdisorde,3
9562,"prosthetic heart valves, mechanical valves - thrombosis prophylaxis","prostheticheartvalves,mechanicalvalves-thrombosisprophylaxis",8
9685,dandruff,dandruff,1
9727,vitamin b12 deficiency,vitaminb12deficiency,3
9735,bone infection,boneinfection,2
9739,"prosthetic heart valves, tissue valves - thrombosis prophylaxis","prostheticheartvalves,tissuevalves-thrombosisprophylaxis",8
9760,iritis,iritis,1
9761,allergic urticaria,allergicurticaria,2
9776,cardiovascular risk reduction,cardiovascularriskreduction,3
9795,giant cell tumor of bone,giantcelltumorofbone,5
9875,babesiosis,babesiosis,1
9982,secondary hyperparathyroidism,secondaryhyperparathyroidism,2
10016,hypoparathyroidism,hypoparathyroidism,1
10044,performance anxiety,performanceanxiety,2
10067,abortion,abortion,1
10123,skin cance,skincance,2
10148,ovulation induction,ovulationinduction,2
10159,liver magnetic resonance imaging,livermagneticresonanceimaging,4
10460,vitamin/mineral supplementation and deficiency,vitamin/mineralsupplementationanddeficiency,4
10478,"herpes simplex, mucocutaneous/immunocompetent host","herpessimplex,mucocutaneous/immunocompetenthost",4
10539,anemia associated with chronic renal failure,anemiaassociatedwithchronicrenalfailure,6
10855,hyperphosphatemia of renal failure,hyperphosphatemiaofrenalfailure,4
10912,dissociative identity disorde,dissociativeidentitydisorde,3
11109,anal fissure and fistula,analfissureandfistula,4
11183,"herpes simplex, mucocutaneous/immunocompromised host","herpessimplex,mucocutaneous/immunocompromisedhost",4
11185,scabies,scabies,1
11359,endometrial cance,endometrialcance,2
11450,transient ischemic attack,transientischemicattack,3
11587,granuloma annulare,granulomaannulare,2
11692,traveler's diarrhea,traveler'sdiarrhea,2
11849,candidemia,candidemia,1
11892,t pac with cyclobenzaprine (cyclobenzaprine),tpacwithcyclobenzaprine(cyclobenzaprine),5
11914,hypoactive sexual desire disorde,hypoactivesexualdesiredisorde,4
11960,"epicondylitis, tennis elbow","epicondylitis,tenniselbow",3
12048,nightmares,nightmares,1
12080,dientamoeba fragilis,dientamoebafragilis,2
12126,ventricular tachycardia,ventriculartachycardia,2
12346,dumping syndrome,dumpingsyndrome,2
12387,myelodysplastic syndrome,myelodysplasticsyndrome,2
12652,hypodermoclysis,hypodermoclysis,1
13113,zen shoulde,zenshoulde,2
13200,topical disinfection,topicaldisinfection,2
13320,perioral dermatitis,perioraldermatitis,2
13421,agitation,agitation,1
13470,intermittent claudication,intermittentclaudication,2
13629,prevention of osteoporosis,preventionofosteoporosis,3
13727,leukemia,leukemia,1
13829,dermatitis herpeti,dermatitisherpeti,2
13866,mis,mis,1
14034,eosinophilic esophagitis,eosinophilicesophagitis,2
14054,"hyperlipoproteinemia type iia, elevated ldl","hyperlipoproteinemiatypeiia,elevatedldl",5
14118,endometrial hyperplasia,endometrialhyperplasia,2
14270,peptic ulce,pepticulce,2
14476,chronic myofascial pain,chronicmyofascialpain,3
14660,enterocolitis,enterocolitis,1
14685,secondary cutaneous bacterial infections,secondarycutaneousbacterialinfections,4
14690,syringomyelia,syringomyelia,1
14917,postoperative ocular inflammation,postoperativeocularinflammation,3
14980,persistent depressive disorde,persistentdepressivedisorde,3
15066,otitis externa,otitisexterna,2
15189,"organ transplant, rejection prophylaxis","organtransplant,rejectionprophylaxis",4
15543,intermittent explosive disorde,intermittentexplosivedisorde,3
15642,dermatophytosis,dermatophytosis,1
15652,inflammatory bowel disease,inflammatoryboweldisease,3
15900,porphyria,porphyria,1
15950,anemia,anemia,1
16162,hyperuricemia secondary to chemotherapy,hyperuricemiasecondarytochemotherapy,4
16308,wolff-parkinson-white syndrome,wolff-parkinson-whitesyndrome,2
16361,eve,eve,1
16688,ectopic pregnancy,ectopicpregnancy,2
16765,thyroid cance,thyroidcance,2
17053,"tuberculosis, latent","tuberculosis,latent",2
17245,nasal carriage of staphylococcus aureus,nasalcarriageofstaphylococcusaureus,5
17271,systemic candidiasis,systemiccandidiasis,2
17361,ear wax impaction,earwaximpaction,3
17458,hepatocellular carcinoma,hepatocellularcarcinoma,2
17521,dyspareunia,dyspareunia,1
17594,tic disorde,ticdisorde,2
17616,head and neck cance,headandneckcance,4
17651,klinefelter syndrome,klinefeltersyndrome,2
17692,rhinorrhea,rhinorrhea,1
17877,soft tissue sarcoma,softtissuesarcoma,3
17968,diabetic macular edema,diabeticmacularedema,3
18196,menopausal disorders,menopausaldisorders,2
18215,anesthetic adjunct,anestheticadjunct,2
18238,tinea cruris,tineacruris,2
18966,tic (mycophenolic acid),tic(mycophenolicacid),3
19215,ischemic stroke,ischemicstroke,2
19219,malignant glioma,malignantglioma,2
19240,thrombocythemia,thrombocythemia,1
19261,atrophic urethritis,atrophicurethritis,2
19409,systemic sclerosis,systemicsclerosis,2
19515,macular degeneration,maculardegeneration,2
19870,aids related wasting,aidsrelatedwasting,3
20001,hemophilia a,hemophiliaa,2
20016,osteolytic bone lesions of multiple myeloma,osteolyticbonelesionsofmultiplemyeloma,6
20090,autoimmune hemolytic anemia,autoimmunehemolyticanemia,3
20097,ailure to thrive,ailuretothrive,3
20143,strongyloidiasis,strongyloidiasis,1
20297,vitamin k deficiency,vitaminkdeficiency,3
20308,ulcerative proctitis,ulcerativeproctitis,2
20416,premenstrual syndrome,premenstrualsyndrome,2
20473,primary hyperaldosteronism,primaryhyperaldosteronism,2
20624,lactose intolerance,lactoseintolerance,2
20774,anal itching,analitching,2
20799,amilial cold autoinflammatory syndrome,amilialcoldautoinflammatorysyndrome,4
20892,duodenal ulce,duodenalulce,2
20945,"tuberculosis, prophylaxis","tuberculosis,prophylaxis",2
20981,neurosis,neurosis,1
21117,turner's syndrome,turner'ssyndrome,2
21233,nsaid-induced gastric ulce,nsaid-inducedgastriculce,3
21349,cns magnetic resonance imaging,cnsmagneticresonanceimaging,4
21655,atherosclerosis,atherosclerosis,1
21657,deep vein thrombosis prophylaxis after hip replacement surgery,deepveinthrombosisprophylaxisafterhipreplacementsurgery,8
21750,gastritis/duodenitis,gastritis/duodenitis,1
21958,"diarrhea, acute","diarrhea,acute",2
22545,costochondritis,costochondritis,1
22610,portal hypertension,portalhypertension,2
22685,glaucoma/intraocular hypertension,glaucoma/intraocularhypertension,2
22911,toothache,toothache,1
23370,benzodiazepine withdrawal,benzodiazepinewithdrawal,2
23569,m pain disorde,mpaindisorde,3
23602,esophageal candidiasis,esophagealcandidiasis,2
23758,deep vein thrombosis prophylaxis after knee replacement surgery,deepveinthrombosisprophylaxisafterkneereplacementsurgery,8
23850,peripheral arterial disease,peripheralarterialdisease,3
23940,"deep vein thrombosis, recurrent event","deepveinthrombosis,recurrentevent",5
24428,"pseudogout, prophylaxis","pseudogout,prophylaxis",2
24557,lichen planus,lichenplanus,2
24570,cmv prophylaxis,cmvprophylaxis,2
24876,neuritis,neuritis,1
25052,typhoid feve,typhoidfeve,2
25386,tardive dyskinesia,tardivedyskinesia,2
25664,ichthyosis,ichthyosis,1
25700,juvenile rheumatoid arthritis,juvenilerheumatoidarthritis,3
25830,b12 nutritional deficiency,b12nutritionaldeficiency,3
25902,primary nocturnal enuresis,primarynocturnalenuresis,3
26195,dercum's disease,dercum'sdisease,2
26663,cutaneous candidiasis,cutaneouscandidiasis,2
26666,gingivitis,gingivitis,1
26885,q feve,qfeve,2
27160,hyperekplexia,hyperekplexia,1
27340,niacin deficiency,niacindeficiency,2
27551,dietary fiber supplementation,dietaryfibersupplementation,3
27697,nephrotic syndrome,nephroticsyndrome,2
28055,pinworm infection (enterobius vermicularis),pinworminfection(enterobiusvermicularis),4
28109,pancreatic exocrine dysfunction,pancreaticexocrinedysfunction,3
28130,"nausea/vomiting, radiation induced","nausea/vomiting,radiationinduced",3
28208,schilling test,schillingtest,2
28417,mild cognitive impairment,mildcognitiveimpairment,3
28545,"ischemic stroke, prophylaxis","ischemicstroke,prophylaxis",3
28899,"gonococcal infection, uncomplicated","gonococcalinfection,uncomplicated",3
29011,ovarian cance,ovariancance,2
29574,eyelash hypotrichosis,eyelashhypotrichosis,2
29602,meniere's disease,meniere'sdisease,2
29677,tinea capitis,tineacapitis,2
29966,lichen sclerosus,lichensclerosus,2
29994,min / pioglitazone),min/pioglitazone),3
30162,renal transplant,renaltransplant,2
30187,"gout, prophylaxis","gout,prophylaxis",2
30228,von willebrand's disease,vonwillebrand'sdisease,3
30308,prevention of atherothrombotic events,preventionofatherothromboticevents,4
30549,small fiber neuropathy,smallfiberneuropathy,3
31200,min / rosiglitazone),min/rosiglitazone),3
31381,peyronie's disease,peyronie'sdisease,2
31396,autoimmune hepatitis,autoimmunehepatitis,2
31687,llicular lymphoma,llicularlymphoma,2
31772,auditory processing disorde,auditoryprocessingdisorde,3
31775,"herpes zoster, prophylaxis","herpeszoster,prophylaxis",3
31785,submental fullness,submentalfullness,2
31985,lactation augmentation,lactationaugmentation,2
32016,radionuclide myocardial perfusion study,radionuclidemyocardialperfusionstudy,4
